fecha,item,hora,concepto,monto,responsable
2024-01-30 00:00:00,2,1899-12-30 17:40:00,RETIRO,80000,CLAUDIA
2024-01-31 00:00:00,1,1899-12-30 13:40:00,flete,10000,claudia
2024-02-01 00:00:00,1,1899-12-30 15:30:00,retiro,210000,claudia
2024-02-01 00:00:00,2,1899-12-30 15:45:00,retiro,40000,claudia
2024-02-02 00:00:00,1,1899-12-30 12:30:00,retiro,50000,claudia
2024-02-02 00:00:00,2,1899-12-30 14:00:00,flete,5000,claudia
2024-02-02 00:00:00,3,1899-12-30 18:00:00,RETIRO,30000,CLAUDIA
2024-02-06 00:00:00,1,1899-12-30 15:30:00,FLETE,5000,CLAUDIA
2024-02-06 00:00:00,2,1899-12-30 18:00:00,RETIRO,100000,CLAUDIA
2024-02-07 00:00:00,1,1899-12-30 14:30:00,retiro,140000,claudia
